mblogid,reposts_count,text,created_at,like_count,comments_count,user_name,user_followers,user_statuses,user_gender,scheme,airline
4092464194806581,158,【注意！首都机场中跑道大修400余架次航班疏解至天津】4月2日至4月29日，首都机场连续28天全天关闭中跑道实施大修，调减大量航班。天津机场目前已确定承接国航、厦航、南航、东航等6家航空公司共426架次航班运行，预计还将有四川航空、山东航空约86架次航班调整至天津机场。首都机场中跑道开始大修​,2017-04-03T07:02:00.000Z,354,236,头条新闻,51752633,122842,f,http://m.weibo.cn/status/ECNpNkapv?mblogid=ECNpNkapv&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4093555166995431,0,虽然改期了，但总算是赶在泼水节前搞定了工作上的事情...于是明天回国，顺便刷一波东航航段...​,2017-04-06T07:17:03.268Z,0,0,Tsukimeizi,548,4860,m,http://m.weibo.cn/status/EDfNqtlPx?mblogid=EDfNqtlPx&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4093538205468375,0,雄安新区重构京津冀机场群东航南航春秋航空受益雄安新区重构京津冀机场群​,2017-04-06T06:10:00.000Z,1,0,龙行点金,4554,274,m,http://m.weibo.cn/status/EDfm4mWzB?mblogid=EDfm4mWzB&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4093536641485745,0,哪位朋友认识东航湖北分公司的人在线等挺急的恩施市​,2017-04-06T06:04:00.000Z,0,4,小梅哥爱明橙橙,877,97,f,http://m.weibo.cn/status/EDfjy6evD?mblogid=EDfjy6evD&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4093526680052451,0,东航垃圾啊，延误也没有原因，我扛着胖娃儿在这莫名其妙地等​,2017-04-06T05:24:00.000Z,0,1,甜子嘛,179,188,f,http://m.weibo.cn/status/EDf3u0dDZ?mblogid=EDf3u0dDZ&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4093514168545118,0,是日航班，又见东航777-300ER。​,2017-04-06T04:34:00.000Z,2,10,波乐熊PolarBear,1953,497,m,http://m.weibo.cn/status/EDeJizQYu?mblogid=EDeJizQYu&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4093504483899531,0,#胡歌##当胡歌遇上东航#您的好友机长胡已上线~来啊来告诉我怎么去你心里@胡歌只要能到晚一点也没有关系的​,2017-04-06T03:56:00.000Z,10,2,古月-小芝,130,448,f,http://m.weibo.cn/status/EDetGgmrF?mblogid=EDetGgmrF&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4093500003556800,0,春秋航空，东航，奥凯，厦航，空乘安全员，南航上海地服，女生超龄可以走春秋，没有学历可以走奥凯和春秋（春秋只限男生没有学历）名额有限，速度报名…​,2017-04-06T03:38:00.000Z,0,1,民航就业平台,1470,636,f,http://m.weibo.cn/status/EDemseVhK?mblogid=EDemseVhK&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4093499026048841,0,早上去体检好像看到了东航那个《爸爸的礼物》的男主花痴一下下男人嘛要有个娃才完美👶​,2017-04-06T03:34:00.000Z,0,0,哀小姐,944,635,f,http://m.weibo.cn/status/EDekSpnzX?mblogid=EDekSpnzX&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4093496933533245,0,为你的梦想起航|近期航空招聘，春秋航招聘，海航招聘，首航招聘，南航招聘，东航招聘，国航招聘，中联航招聘，山航招聘，深航招聘&amp;#128584;&amp;#128584;，有不懂得宝宝，赶紧私我网页链接​,2017-04-06T03:26:00.000Z,0,0,航空专业就业咨询服务,506,1329,m,http://m.weibo.cn/status/EDehveP9P?mblogid=EDehveP9P&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
