mblogid,reposts_count,text,created_at,like_count,comments_count,user_name,user_followers,user_statuses,user_gender,scheme,airline
4075718193092722,14472,胡歌最近频繁出现在东航，「制服歌」也太苏了吧～胡歌与「东航机长」有什么联系？那些网络爆料的图片是真的吗？小编偷偷告诉你们，在金鸡之年「胡机长」和东航有个约会哦[色]情人节的前一晚，我们来聊聊「胡歌」机长吧✈​,2017-02-16T02:00:00.000Z,2537,1283,东方航空,312041,9499,m,http://m.weibo.cn/status/EvLM7cYyC?mblogid=EvLM7cYyC&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4076183291349931,1,#自驾游英国##英国##新浪旅游#结束了布莱尔的游览我们继续往几十公里处的希思罗机场还车并乘坐东航的班机直飞浦东机场，还车顺序很简单，租车公司会派个工作人员拿着手电筒查看车子情况，汽车轮胎查的很仔细，英国马路狭窄，马路边有很多塄，一不小心汽车轮胎就会和塄摩擦而损害，一切顺利，我​...全文,2017-02-17T08:47:17.609Z,1,2,心旷神怡的围脖,10651,15132,f,http://m.weibo.cn/status/EvXSh5Fb5?mblogid=EvXSh5Fb5&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4076181688923669,0,东航一定等我啊…一定等我啊…一定等我啊…[加油][加油][加油][可怜][可怜][可怜]​,2017-02-17T08:41:17.612Z,0,0,喵喵我在这里,898,33515,f,http://m.weibo.cn/status/EvXPGBrs9?mblogid=EvXPGBrs9&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4076179109807510,1,屡次晚点、飞机餐食难吃就算了、本来我是从南京飞福冈莫名其妙被改到上海、还美其名曰免费改签[微笑]希望东航给予合理解释并给予赔偿#中国东方航空#@东方航空​,2017-02-17T08:31:17.614Z,0,0,爱吃草莓的圆滚滚anki,1662,2,f,http://m.weibo.cn/status/EvXLwF9nE?mblogid=EvXLwF9nE&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4076171707168237,0,【2017年2月17日（周五）三分钟新闻早餐】3）东方航空MU552次伦敦至上海客机因技术故障迫降俄罗斯机场，东航回应：系发动机故障；​,2017-02-17T08:02:00.000Z,0,0,三明中院,28826,134640,m,http://m.weibo.cn/status/EvXzAu4MJ?mblogid=EvXzAu4MJ&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4076170947146365,1,厦航打电话让我办中信跟厦航单位联名信用卡[doge][doge]。。东航建行一张卡都在家里睡觉。。。​,2017-02-17T07:59:00.000Z,0,0,luoyeruoyue,59,6527,m,http://m.weibo.cn/status/EvXymtZ5X?mblogid=EvXymtZ5X&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4076165893590099,0,期货开户怎么选？东航和徽商都不错手续费加1分钱很多期货公司丧尽天良加一倍​,2017-02-17T07:39:00.000Z,0,1,易极社,3628,29,m,http://m.weibo.cn/status/EvXqdf3WP?mblogid=EvXqdf3WP&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4076164274944749,1,#重庆路况随手拍#【重庆将建成&quot;一大四小&quot;民用运输机场】“中国民用航空局、国家发展改革委、交通运输部联合发布《中国民用航空发展第十三个五年规划》十三五”期间，重庆将建成的“一大四小”民用运输机场中，江北机场东航站区和第三跑道工程将于今年投用。江北机场东区扩建工程主要建设内容包括新建​...全文,2017-02-17T07:32:00.000Z,3,0,重庆交通,626493,44732,f,http://m.weibo.cn/status/EvXnBkKm1?mblogid=EvXnBkKm1&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4076159740474106,0,感谢东航，让我一个月之内看了三遍半拉卡几的《湄公河行动》[doge]上海·浦东新区​,2017-02-17T07:14:00.000Z,1,0,beanWYW,29,75,f,http://m.weibo.cn/status/EvXgi1ZkS?mblogid=EvXgi1ZkS&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
4076139003018362,0,【理财频道自制节目《股运恒通》——个股问诊（窦维德）】-1702171：宝塔实业000595跌到成本了，后市还要持有吗？（老师：如果破掉昨天最低价就杀出去）2：中国国航持有一段时间了，这种票要换吗？（老师：首先换到南航，其次换到东航）3：中集集团000039还能跟进吗？（老师：如果破掉16块79，预​...全文,2017-02-17T05:52:00.000Z,1,0,中国理财频道,13084,2530,m,http://m.weibo.cn/status/EvWIQcFdg?mblogid=EvWIQcFdg&luicode=10000011&lfid=100103type%3D1%26q%3D%E4%B8%9C%E8%88%AA,东航
