estar,desc
"[""很好""]",也就只剩价格便宜了。 遇到打折机票还是挺划算的 就是服务不敢恭维
"[""很差""]",春秋航空是我遇到的最差的航空。我一星都不想给，实在是最差也要一星，这算是给春秋航空的表扬了。（打脸服务体系）。先从最基础的时间说起，我要去见女友，就为了省时间选飞机，飞机又不安全，不守时的飞机跟动车有毛的区别。去见女友起飞延误一小时多。往返回来推迟三个小时多，特么的你变本加厉了么？！！！晚上9点到浦东的飞机生生在跑道上磨啊磨蹭到12点，我回家光打的打表走就300多，特么的你的服务体系是有多差！用餐方面：基本的用餐也是没有，简直是我勒个槽，省的不要不要的。
"[""很差""]",座位空间小也就算了，这靠背陡峭的跟悬崖峭壁一样让人怎么躺啊？而且我觉得所谓的价格亲民就不要以讹传讹了，加上行李费、餐饮费，你完全可以坐一趟舒适的大航班了，希望大家不要再被表面的票价蒙蔽双眼
"[""非常好""]",春秋的飞机票真心便宜，就是椅子实在坐的太累人。
"[""很差""]",我真的是第一次坐这么恶心的航班  特价机票与保险绑定 特价机票行李十公斤以内80 我真的没谁了 要是不免费就不需要说什么特价机票了 比普通机票更贵 不得不说的是 这个服务态度 真的是 恶心到家了 一脸的欠他一百八十万的样子。补交行李的钱也不说该怎做 我们只能来回跑 真是想爆粗口 边嚼口香糖边勾手指  机场是你家开的么 真是服了 这辈子不会再来虹桥机场 死也不会买你家机票 不够恶心的 还有 4点半柜台就应该值机了 工作人员貌似45才开始工作 呵呵 这种航空公司能存活到现在也是奇迹 估计再这么下去 估计就没了  还有 千万不要相信春秋的特价机票  信我 不然会把你恶心的找不着北  去就去浦东 ！！！什么都不比 光凭服务态度也要去浦东 对了 如果有负分 我会给负分 因为连一颗星你们都不配
"[""非常好""]",札幌→东京的航班选择的是春秋航空，本来以为可以都是中文服务很方便，结果发现是春秋航空日本，还是全部日本人，而且打电话增加行李托运重量的时候还告知要登录日本的春秋航空网站增加。好在后来电话解决了。总体来说还是不错的，对于短的飞行也是可以考虑的
"[""好""]",话说不知道有多久没乘坐春秋航空了，依稀印象中记得人生中的第一次飞行经验就献给了春秋，那个时候懵懵懂懂什么都不会当时还觉得特别新奇好玩。虽然大部分旅客们对春秋的反馈以及口碑印象都不太好，但个人觉得其实还可以。作为国内第一家低成本廉价的航空公司，春秋现在做的也是有声有色积累了一定的客户源，虽然缺点诸多比如座位空间比较狭小、不提供免费餐饮、延误时间，但是胜在他的价格实在够亲民便宜，而且经常有白菜价可以秒杀，如果去短途飞行的话个人觉得没什么问题，不过这个仁者见仁智者见智吧。
"[""好""]",从台湾旅行回来坐的就是春秋航空的飞机。
"[""很差""]",真的超级垃圾超级贵，以最便宜的价格给出最垃圾的服务。
"[""很差""]",考虑到廉价和时间紧凑性，订了春秋航空的2016-12-24上海-西安07:05起飞的9C8689航班。广播在06:35登机时间宣布：飞机调配原因，起飞时间待定。07:05广播通知，飞机调配原因，暂定为14:00起飞，请耐心等候。在众乘客的强烈抗议下，08:35派来大巴车送乘客去酒店休息。
"[""一般""]",用一般来形容也算对这个低价位航班的准确表达，买的是500多的机票，行李要额外付款80元，从上海到广州白云机场，只有手提行李是免费的，20寸的箱子竟然不能上飞机，不过也看到有人拎上去了，这说明查的不严，有点随便的感觉。然后没水，没餐点，还有需要短驳车开过去，起飞的时候颠簸的厉害。降落的时候直接感觉是掉在地上的，好危险的感觉。脚跟座位的距离胖子是无法坐下的，幸好我是瘦的。否则真心累
"[""一般""]",无法描述春秋航空，目前是在上海作为基地，而且开通了很多国内国际航班，主打的就是直营，网络app官网都可以售票，把价格压低。
"[""很差""]",以后我要开个免费航空，全程放广告，谁不服直接揍，难道座免费航空还有理了，而且我的员工一定要比春秋的员工更蛮横，更说不得。我们的口号就是，我们是免费航空，你还想怎么样
"[""很好""]",好的、是我的错！下次不定这个航班！
"[""很差""]",春秋航空很差。我们两个老年人11月10日搭乘春秋航班去张家口旅游，不料春秋航空工作极不负责，把我们托运的御寒衣服全部被同机托运的破损的海鲜箱污染。幸得张家口机场两位工作人员相帮，用草纸给我们吸去衣服上浸透的海鲜水，又给我们车费送我们到宾馆，还好宾馆里的暖气很足，总算第二天早上马马虎虎可以穿上身，虽然鱼腥味依然还在。不来计划好的行程，全部落空。当天晚上就向春秋投诉，他们却是嗯嗯啊啊，敷衍我们。
"[""很好""]",很不错的一次体验，体验很新鲜，我是第一次乘坐春秋航空，也是第一次知道原来乘坐民航飞机可以么有水喝，木有饭吃，甚至木有点心吃的，不过人家打的旗号就是廉价航空，好吧，看在相对来说比较便宜的份上，就算了，以后知道了，乘坐春秋航空的时候多带些吃的，水也要在机场里罐好上去，这样不至于太饿或者太渴，真是吃一亏长一智啊，哈哈。不过话说回来，这次乘坐飞机时间等起飞的时间不算很长，等跑道等的时间不长，查行李和上飞机到到达目的地，大约三个小时就到了，比想象中的好。一句也看了很多美丽的风景，因为正好是下午五点多的飞机，飞上去的时候又是晴天，天气好又碰到夕阳西下，风景美得不要不要的，这点倒是其他航空没有体验到的呢，这个要给一个大大的赞！女儿也是不亦乐乎，觉得一切都是很新鲜，很好玩。
"[""很差""]",打这差评还要理由吗？？？？？？
"[""很好""]",记得第一次接触到春秋是13年10月，那个时候无意中秒杀到上海到张家界的来回机票，当时有些有些小激动，不过听人说春秋位子挤而且没机上餐所以也没报多大希望，不过其实结合价格我觉得还是可以接受的，位子虽然比其他航空的飞机间距小，但还可以接受，飞机上无餐食而且有固定环节的信用卡和物品的推销，但部分航线的价格能做到比火车还便宜而且时间上比火车要高效，所以慢慢也开始适应廉价航空，近几次基本都是坐春秋的飞机出去游玩的，所以现在补个点评
"[""很差""]",奇葩中的奇葩，订的是机➕酒厦门，去的时候，延误了四个半小时，其中发了一包方便面➕水，没有再任何表示了.我想问，现在还有人吃方便面吗？结果老公吃了拉肚子，直接倒下，那我们想早点回来，结果春秋说我们不能改期，我表示我愿意贴钱，结果在有空位情况下，春秋依然不愿意。那我要问了？对别人一百样要求，对自己没有任何要求，你既然压我来去时间，那请问你去厦门的时间你耽误我多少。春秋说，这是航空公司的事，那也是你们航空公司自己航班，一家公司不同部门，我把钱给你，你却是什么都不负责，有事自己联系航空公司，那钱是你们收的吗…垃圾中的垃圾，由于老公吃了航班的方便面，一病不起，我们自己买了高铁的票回家。这就叫花钱没啥玩，还把自己搞病了，垃圾春秋
"[""很差""]",你们什么时候能倒闭？拜托别再害人了
[],春秋的飞机，除了便宜外就没有优点了
[],每次出去玩，只要是跟团的，如果是春秋我就担心，他们的飞机开的那个颠簸阿，每次降落我都要吐，哪能别家航空公司从来不让我晕机，他家屡试不爽。
[],订春秋的度假产品然后就搭上了传说中的春秋航空，是架小飞机，座位非常紧凑……只有经济舱，没有商务舱和头等舱，数数飞机从头到尾可以做二三百人。我坐着还可以，老公似乎觉得很挤，没有吃的，只有一瓶水，但是忍忍就过去了，飞机上的乘务员竟然是男的我倒是第一次看见，不过也有空姐，一路上就拼命睡，没有听到推销＝＝
[],蜜月的时候，订了春秋国旅的桂林游，2490/人，坐的当然就是春秋的航班。
[],"现在出行首选就是春秋航空,因为便宜,一份价钱一分货,所以也就没必要太过强求要有多好的服务,坐飞机本就为了方便快捷,享受是其次,如果没有春秋,买张机票还真是有些心疼.前几天刚订了张去厦门的特价,才199元.不过很多人碰到的飞机误点.我却一次都未遇到.真是大幸"
[],"大家选择春秋最多的就是因为便宜, 所以对其提供的服务也就不能计较太多"
[],上面的空姐超级超级难看，是我见过的最难看的空姐了，怪不得便宜。实在是倒味口啊！服务也很不好，以后不会选择了。
[],"网上的价格很便宜但是好象不是很容易定到,"
[],"喜欢它的订票系统,还可以查特价票.网上付款结帐."
[],只要不掉下来，怎么都行，实惠啊~~
[],有朋友在这家航空公司工作，短途出去玩，还是会选择春秋。
[],价格便宜是唯一亮点。我6月份去旅游，报了春秋的旅游团，机票自然是春秋自家的，但是去的时候，晚点1个半小时，回来的时候更惨。下午3点的飞机，一直延误到晚上24：00才起飞，回到家已经是三更半夜。唉！真是一次悲惨的回忆。
[],一直在网上抢99的票，坐着感觉也很好啊，没吃的也无所谓，本来时间也不长，就是不喜欢一直有空姐在推销，虽然节省了成本不少，但也不用做生意吧，飞机环境也很舒服
[],国内的廉价航空。。。。
[],去厦门的时候就特别买了春秋的票子，看了攻略，一直等在那里买199的票子。打印、选位都可以网上搞定，还是满方便的。
[],"上次我坐春秋航空从青岛到上海的早上班机, 飞机晚点了, 我跟春秋航空公司航空保障部的赵惠军女士开了个玩笑, 我说, 我要晚点到机场了, 赵部长, 您看这个问题怎么办?"
[],支持推出廉价机票的春秋航空，虽然我只坐过一次。
[],去青岛的飞机票 在别家公司统一报价1600的时候 1140就拿了下来 网上支付电子机票蛮方便的
[],同学上个月刚买了99元上海去青岛的机票，就这么闪人了。。。
[],从价格上说，当然优势是非常明显的，前不久推的济南航线的1元票，还引起了非常大的争议。但是这个1元票根本就买不到嘛，晕死。
[],价格便宜，但是座位狭窄，长途很不舒服。本以为空姐的质量也是“一分价钱一分货”，不过，感觉还是蛮好的，算是超值消费。呵呵
[],上个礼拜尝试了他家从上海飞济南的超级便宜机票。因为是航线开通，所以去的时候是99块，回来是0元~~回来只要付150元税钱就可以了，超级合算呀~~~
[],最喜欢他家网上特价，飞青岛只要99，199；厦门也有199的，反正在特价时候买的电子票还是很现代及便宜的。
[],只坐过一次，冲着价格可能还会再考虑，冲感受的话，不会再考虑。便宜机票可选的位置都是飞机翅膀这里，5-10排左右，靠近发动机，声音响是响的来（而且买的还不是那个最低价的票子哦），好在上次去桂林也就是两个多小时， 眼睛一闭一狠心就忍了，要是坐路线长的就不核算了。
[],每次上班看到春秋的团队~~都是很无奈啊~~
[],有很多航班都有99系列的，我去厦门就是往返199的。低成本航空公司，飞机上除了一小瓶水以外，其他都不是免费的。航班途中还会介绍你买纪念品，就是飞机模型什么的。
[],哎 。。。千万别买打折特别厉害的票子。。
[],提前订票，价格便宜。越早越便宜，一周调一次价格，周五变价格。在机场级别较低。一次去大连，在机场候机楼等了1个半小时，在飞机上等了2个多小时。同一时段，东航的飞机都到大连了，还没获准起飞。多出20元，可换靠前的空间大点的座位，并且可优先登机。到了飞机上，啥都得化钱买。空姐都搞得像超市推销员。
